lambda2,var(|dP/dlambda2|)
2.500000000000000486e-03,2.105202273133784533e+06
6.503642039542143448e-03,2.106899582413896918e+06
1.238553590010406033e-02,2.290012449220843613e+06
2.014568158168574333e-02,2.713482027839519083e+06
2.978407908428720025e-02,3.427528436761438847e+06
4.130072840790843802e-02,4.359311956443853676e+06
5.469562955254943237e-02,5.272323741343025118e+06
6.996878251821020411e-02,5.835880679931443185e+06
8.712018730489073937e-02,5.823498602704506367e+06
1.061498439125910520e-01,5.298268825009038672e+06
1.270577523413111420e-01,4.558033566893145442e+06
1.498439125910509817e-01,3.845929980115066748e+06
1.745083246618105988e-01,3.179314901533842087e+06
2.010509885535899932e-01,2.504854346992218867e+06
2.294719042663891651e-01,1.878270096391986590e+06
2.597710718002080865e-01,1.399900268267208245e+06
2.919484911550467854e-01,1.086192601998036960e+06
3.260041623309054004e-01,8.736830486381233204e+05
3.619380853277836541e-01,7.035074735167967156e+05
3.997502601456816573e-01,5.623871643443931825e+05
4.394406867845994658e-01,4.556113105050179875e+05
4.810093652445370238e-01,3.747352222242801217e+05
5.244562955254943315e-01,3.071146522533278330e+05
5.697814776274714443e-01,2.495702671528838691e+05
6.169849115504683068e-01,2.022152799313142896e+05
6.660665972944849189e-01,1.634392679675109102e+05
7.170265348595213917e-01,1.317693492014269286e+05
7.698647242455776141e-01,1.062619536219142610e+05
8.245811654526534751e-01,8.652636891627669684e+04
8.811758584807491967e-01,7.178829731372710376e+04
9.396488033298647791e-01,5.953781158972341655e+04
1.000000000000000000e+00,3.385392763855013181e+05
