lambda2,varP
2.500000000000000486e-03,3.838715818060154561e+01
4.235323759133283184e-03,6.044817629714088980e+01
6.425422020660114322e-03,1.042440421325154603e+02
9.070294784580497371e-03,1.802457347702365951e+02
1.216994205089443060e-02,3.000275820687747910e+02
1.572436381960191573e-02,4.751481686101687956e+02
1.973356009070294931e-02,7.155033991180025623e+02
2.419753086419753133e-02,1.027154718184923695e+03
2.911627614008566525e-02,1.409792919756531774e+03
3.448979591836735109e-02,1.854220876172323187e+03
4.031809019904258190e-02,2.340492031061206944e+03
4.660115898211136809e-02,2.837544717035190843e+03
5.333900226757367496e-02,3.305197213449890114e+03
6.053162005542955804e-02,3.699066924955841387e+03
6.817901234567899649e-02,3.978248816223847825e+03
7.628117913832196950e-02,4.114483549424491684e+03
8.483812043335850483e-02,4.100363932631443276e+03
9.384983623078858861e-02,3.953431874121565215e+03
1.033163265306122208e-01,3.713469927395493414e+03
1.132375913328294015e-01,3.432281033066413329e+03
1.236136306374401445e-01,3.158430484093749783e+03
1.344444444444444220e-01,2.922479385923732480e+03
1.457300327538422480e-01,2.729263255714929073e+03
1.574703955656336363e-01,2.561373550758686179e+03
1.696655328798185314e-01,2.392630146994556071e+03
1.823154446963970166e-01,2.204713204773705911e+03
1.954201310153690363e-01,1.997928705150753785e+03
2.089795918367346184e-01,1.790289492269985203e+03
2.229938271604937627e-01,1.606059124570428594e+03
2.374628369866464417e-01,1.461218637479016934e+03
2.523866213151927385e-01,1.355014198860316810e+03
2.677651801461324865e-01,1.272882486228508924e+03
2.835985134794658524e-01,1.198590243305217655e+03
2.998866213151926696e-01,1.126202246704058098e+03
3.166295036533131602e-01,1.061145453863762214e+03
3.338271604938271020e-01,1.008769882836205625e+03
3.514795918367347172e-01,9.633334683809216585e+02
3.695867976820357281e-01,9.128343145575167910e+02
3.881487780297304124e-01,8.556746259208102856e+02
4.071655328798185480e-01,8.055197729249696295e+02
4.266370622323003570e-01,7.739073388036453025e+02
4.465633660871755617e-01,7.540448868757758873e+02
4.669444444444444398e-01,7.301324429521716866e+02
4.877802973041067691e-01,6.973233544406174360e+02
5.090709246661627718e-01,6.625203181123625882e+02
5.308163265306121703e-01,6.305233094192998351e+02
5.530165028974552976e-01,5.998771303386895397e+02
5.756714537666918208e-01,5.686557917698116853e+02
5.987811791383218507e-01,5.372531353504962226e+02
6.223456790123456095e-01,5.090380462379216056e+02
6.463649533887627641e-01,4.893002265136483402e+02
6.708390022675736475e-01,4.774010780936811784e+02
6.957678256487779267e-01,4.628346824729831610e+02
7.211514235323759348e-01,4.389453130202247735e+02
7.469897959183672276e-01,4.158413916795312844e+02
7.732829428067522493e-01,4.040904067002918509e+02
8.000308641975307777e-01,3.949518720208002378e+02
8.272335600907029241e-01,3.788045592001132604e+02
8.548910304862684661e-01,3.632946545461222172e+02
8.830032753842277371e-01,3.539509140615526803e+02
9.115702947845804038e-01,3.450880765126661345e+02
9.405920886873267994e-01,3.337853383354935772e+02
9.700686570924664798e-01,3.216114876359603159e+02
1.000000000000000000e+00,3.097714363894335747e+02
